testcase                       ,cbmc   ,cpachecker ,icra   ,veriabsl ,wsum   ,proteus ,LoopSCC
custom_1                       ,  21.7 ,      10.0 ,  96.0 ,     9.9 ,  98.8 ,  100   ,  100
custom_2                       ,  21.7 ,       9.5 ,  43.2 ,     9.5 ,   0   ,0,  100
custom_3                       ,  24.0 ,       9.4 ,   9.9 ,     9.4 ,   0   ,0,  100
custom_4                       ,  24.2 ,      10.8 ,  39.2 ,    10.7 ,  82.9 ,0,  100
speed_pldi09_fig1              ,  75.3 ,      52.3 , 100   ,    52.3 ,  81.6 ,  100   ,  100
speed_pldi09_fig4_4            , 100   ,     100   , 100   ,   100   ,  38.2 ,  100   ,  100
speed_pldi09_fig4_5            ,  55.3 ,     100   , 100   ,   100   ,   0   ,  100   ,  100
speed_pldi10_ex3               ,  74.2 ,     100   , 100   ,   100   ,   0   ,  100   ,  100
speed_pldi10_ex4               ,  72.1 ,     100   , 100   ,    49.1 ,   0   ,  100   ,  100
speed_popl10_fig2_1            ,  69.0 ,     100   , 100   ,    73.6 ,  80.4 ,  100   ,  100
speed_popl10_fig2_2            ,  64.5 ,      78.0 ,  50.3 ,    78.0 ,  94.7 ,  100   ,  100
speed_popl10_nested_multiple   ,  68.3 ,     100   , 100   ,    87.4 ,   0   ,  100   ,  100
speed_popl10_nested_single     ,  77.0 ,     100   , 100   ,   100   ,   0   ,  100   ,  100
speed_popl10_sequential_single ,  95.3 ,     100   , 100   ,   100   , 100   ,  100   ,  100
speed_popl10_simple_multiple   ,  67.5 ,     100   , 100   ,   100   , 100   ,  100   ,  100
speed_popl10_simple_single     ,  74.5 ,     100   , 100   ,   100   , 100   ,  100   ,  100
speed_popl10_simple_single_2   ,  46.1 ,      25.4 , 100   ,    25.4 ,  86.7 ,  100   ,  100
t07                            ,  58.1 ,      47.2 , 100   ,   100   ,   0   ,  100   ,  100
t08                            ,  82.8 ,      12.1 , 100   ,   100   , 100   ,  100   ,  100
t10                            ,  75.9 ,     100   , 100   ,   100   , 100   ,  100   ,  100
t11                            ,  73.1 ,     100   , 100   ,    77.9 , 100   ,  100   ,  100
t13                            , 100   ,     100   , 100   ,   100   ,   0   ,  100   ,  100
t15                            ,  97.9 ,      95.0 , 100   ,   100   ,   0   ,0,  100
t16                            ,   1.9 ,       2.8 ,   4.4 ,     0   ,   0   ,0,  100
t19                            ,  83.8 ,     100   , 100   ,   100   , 100   ,  100   ,  100
t20                            ,  66.2 ,      51.1 , 100   ,   100   , 100   ,  100   ,  100
t27                            ,  55.5 ,      51.9 ,  51.9 ,    51.9 ,   0   ,    0   ,    0
t28                            ,   3.1 ,      90.0 , 100   ,   100   ,   0   ,  100   ,  100
t30                            ,  44.9 ,      27.8 ,   0   ,    27.8 ,   0   ,    0   ,    0
t47                            ,  96.0 ,     100   , 100   ,    52.1 ,  52.7 ,  100   ,  100
SUM                            ,1869.9 ,    2073.3 ,2494.9 ,  2115.0 ,1416.0 ,2300, 2800
