ID,i,x,flag
1,-2484833,-9076789,1
2,-7134591,-2238179,1
3,-5563080,9393292,1
4,-583084,2752408,1
5,-379031,8211219,1
6,-2231214,3787031,1
7,-6853035,-8328999,1
8,-5494310,9719285,1
9,-5098648,-6350694,1
10,-6227729,-8752984,1
11,-5049471,7102563,1
12,-5513061,1024856,1
13,-2529607,2208908,1
14,-9309769,-1214836,1
15,-3243453,5484252,1
16,-8892592,2284657,1
17,-8852190,-2225875,1
18,-7042070,2051281,1
19,-54130,-2610179,1
20,-5173284,-287307,1
21,-6392261,4019585,1
22,-4498244,1923549,1
23,-6843468,3424220,1
24,-2211237,-1853471,1
25,-1430456,4752925,1
26,-1517464,9582567,1
27,-4723874,2981643,1
28,-591866,5256335,1
29,-6485628,-6941437,1
30,-2927558,92320,1
31,-4276155,3539680,1
32,-4701250,4599562,1
33,-7511858,-9148837,1
34,-6011124,6242668,1
35,-2385594,7654291,1
36,-2304708,3893153,1
37,-5911635,8404579,1
38,-3778636,-7800359,1
39,-3004276,-6409399,1
40,-5149881,9768679,1
41,-5432630,4711781,1
42,-8335176,-1078129,1
43,-1504351,3337772,1
44,-2344175,2620407,1
45,-2638953,3459312,1
46,-8232369,2587824,1
47,-2753361,5895263,1
48,-6939193,6554623,1
49,-9402978,-9203845,1
50,-95122,759445,1
51,-6517097,7683004,1
52,-2906219,7565454,1
53,-5603171,2964306,1
54,-2893591,8309065,1
55,-1606555,4362337,1
56,-9376093,9263778,1
57,-656388,-1703699,1
58,-2150244,-5349365,1
59,-8251173,-8594027,1
60,-6178897,-6755830,1
61,-5302142,700396,1
62,-8601715,-3180764,1
63,-3438609,-1062451,1
64,-5259826,-3244332,1
65,-7781031,-7181924,1
66,-2448327,-6739441,1
67,-7294289,9682644,1
68,-6677482,-4168373,1
69,-9603875,-3269638,1
70,-4561305,1948551,1
71,-5449530,-2939735,1
72,-639085,-8049371,1
73,-9228867,7488086,1
74,-2791522,-8061361,1
75,-7728472,-5103876,1
76,-3073058,-6409784,1
77,-4512502,-4420099,1
78,-1767164,5534411,1
79,-5699544,1967852,1
80,-6644829,4320580,1
81,-9195829,-1771717,1
82,-5349962,2101125,1
83,-1361982,8076209,1
84,-9837466,-476766,1
85,-7312515,1585028,1
86,-2083785,-6640688,1
87,-3654246,-9134155,1
88,-1582029,-4445683,1
89,-2420374,-2070229,1
90,-3107522,4961918,1
91,-1817156,1449676,1
92,-9186739,-1495319,1
93,-637612,4368758,1
94,-7337412,8567006,1
95,-2452182,827010,1
96,-3492925,-6423363,1
97,-7596613,708427,1
98,-6461524,5758035,1
99,-6494839,-3422581,1
100,-7228886,1542259,1
101,-3331473,8493002,1
102,-9308079,-4207143,1
103,-2097690,-9205060,1
104,-632095,-6805740,1
105,-9642879,7097403,1
106,-1147709,-7858436,1
107,-2437883,1072250,1
108,-314518,-1434700,1
109,-5737027,7881764,1
110,-6344448,-2572274,1
111,-2061665,-6498711,1
112,-5440387,-2365266,1
113,-7714682,-3167073,1
114,-6581914,-3111442,1
115,-1188298,4593365,1
116,-842287,-1592948,1
117,-3801565,-5194436,1
118,-7943764,-7931691,1
119,-2321362,-9118107,1
120,-7729351,6500595,1
