ID,x,y
1,2346193,-1727328
2,3830593,5625657
3,-5790735,7774674
4,-5238632,-7241698
5,-7837141,2936885
6,8394644,-1078318
7,9972588,6744515
8,1471955,-9525145
9,851205,7554154
10,-2004542,-1305681
11,-8192198,-9962686
12,-2415531,5180342
13,8659788,5161408
14,2707261,-6463970
15,-1969162,-1465723
16,8393814,-6346705
17,-7676540,1396442
18,-6082055,-8028858
19,92611,-9777303
20,19131,384397
21,-3669110,-5001499
22,-4846888,8258952
23,8550915,-6952992
24,2471995,-2236743
25,-9825084,-9750736
26,2738996,3771272
27,-1947180,9815689
28,-3744215,-3150295
29,-8568152,-1886294
30,5710413,-8689372
31,-4519098,-3143718
32,-2737677,-1533062
33,2367063,8888927
34,-2751711,3487227
35,5920432,1213133
36,8523108,1448055
37,-6414129,7968906
38,-9323843,-7322464
39,-2854416,9302215
40,6730801,3045078
41,1928144,4524362
42,4398946,-6500997
43,5556292,7666384
44,-9742976,5286008
45,8275810,-5584881
46,-6638698,6284143
47,-2280466,1512519
48,-8828805,5146491
49,-3691984,-6752085
50,8873156,2919083
51,-348619,-6864658
52,-2972335,-6490898
53,-7662630,2225193
54,-5848740,-4827881
55,-4722984,-3271660
56,8391760,-4751820
57,-9524735,-6254088
58,1168663,-1613953
59,4398153,-300767
60,142416,-3276526
61,-6128883,6849353
62,-416859,9743355
63,-3147538,-9462701
64,-3655339,-3663713
65,5740832,-1694931
66,2531651,-5519516
67,-2573852,294429
68,1957591,-7286638
69,-2130801,2014324
70,-5613903,-947464
71,-266393,8410246
72,1493142,4380078
73,926286,-5792585
74,-1043075,2386770
75,-8136855,-1279885
76,6929817,-7226290
77,-8179474,-177394
78,2419986,-5658815
79,2420598,-5144410
80,9056637,-243011
81,7079250,-4080787
82,-890917,6634351
83,2352368,-6703780
84,-3161668,8587785
85,-1184843,-2900276
86,36900,-2430887
87,-9322329,8054698
88,-9509973,3486337
89,1264929,6640540
90,8310072,-9508695
91,8248209,-1792468
92,-469546,-1045743
93,3094493,-8085084
94,7483876,-4819393
95,-5569470,-1891766
96,6263457,-7677662
97,3611275,-3112389
98,4019472,7719153
99,8645093,-7177849
100,7810048,-1947380
101,-254922,-43737
102,-869144,929864
103,636226,-269022
104,-996488,50040
105,-686537,-382012
106,40952,-780811
107,-293394,965874
108,-511962,-150943
109,-309432,439232
110,-85436,441327
111,568959,-700203
112,30600,-344574
113,994450,938
114,664218,-491118
115,763312,-218277
116,-355641,-146067
117,-37899,594089
118,-936824,602902
119,-488112,171635
120,585843,926380
121,927918,-924377
122,410764,345969
123,-80359,-726255
124,493508,-476210
125,-199201,177510
126,-10542,-100137
127,-503940,483854
128,-364691,-332058
129,-753350,-235571
130,122185,739865
131,-284167,563777
132,470986,-145447
133,333321,394392
134,321844,-241812
135,705971,-558075
136,-253745,755896
137,224250,562260
138,-411287,-878381
139,952055,-520416
140,-914911,-408799
141,-999850,665781
142,-691161,-225773
143,-426753,-322080
144,-716932,-877909
145,366475,448223
146,-895700,357302
147,-620196,-64686
148,671864,-546693
149,-430916,510696
150,-550517,435732
151,-827236,403741
152,396277,-34820
153,154885,584964
154,-613757,448582
155,-125075,635075
156,-352886,250832
157,-108593,3749
158,-708059,364265
159,-537739,623736
160,-377182,556467
161,285398,351320
162,-821214,-271796
163,406114,88018
164,-828149,-82016
165,-42550,829919
166,208484,320346
167,-544059,-414844
168,-54721,533410
169,44115,130973
170,856591,159586
171,-201185,202299
172,-969546,-321186
173,599260,255765
174,747207,-461244
175,611903,103310
176,292316,-667280
177,-494708,60771
178,155249,-177446
179,83827,625924
180,-104176,-74968
181,280077,-360770
182,-488498,-908023
183,-316185,-519668
184,405829,-896519
185,218131,-299638
186,290807,-752137
187,-380203,-925652
188,271748,474099
189,-54691,333424
190,290992,-181411
191,-478546,-567028
192,311134,-837679
193,-745494,479378
194,547497,-316462
195,46852,468005
196,233889,-100590
197,-103779,438450
198,-60066,690848
199,-476162,-59696
200,262607,-277763
201,363083,923545
202,-467383,-19654
203,470148,-479222
204,645207,-633257
205,-662561,47445
206,-803672,-767326
207,67374,-959718
208,-367899,-454064
209,555709,-114017
210,857431,379889
211,-708559,-753354
212,596045,-488247
213,101431,-759753
214,-821957,501574
215,-32638,772916
