ID,i
1,80771
2,756446
3,103725
4,788344
5,425202
6,835643
7,868977
8,155244
9,181032
10,340141
11,486513
12,287799
13,16304
14,764870
15,54372
16,4458
17,702548
18,591598
19,339273
20,131878
21,847450
22,795134
23,446977
24,29476
25,362849
26,406386
27,538475
28,297060
29,848906
30,40991
31,71517
32,514458
33,79066
34,87179
35,145467
36,491933
37,645549
38,643489
39,978744
40,52442
41,130666
42,276111
43,478469
44,481254
45,63432
46,490138
47,414353
48,336818
49,501928
50,906405
51,704197
52,212415
53,537826
54,765484
55,300930
56,611101
57,64484
58,314584
59,964988
60,531069
61,95702
62,88681
63,105590
64,289603
65,897646
66,575907
67,924115
68,786038
69,356220
70,356745
71,784988
72,314911
73,89514
74,75229
75,834991
76,634656
77,895410
78,265333
79,510752
80,907442
81,6184604
82,7496674
83,1713789
84,-2598919
85,7086149
86,6666818
87,-8205449
88,-178487
89,-2675053
90,8577389
91,-9927926
92,913639
93,7278246
94,9703152
95,4251811
96,-5050752
97,9824203
98,-489156
99,-5369874
100,1514238
101,600841
102,919137
103,58231
104,785252
105,427417
106,756356
107,786014
108,199665
109,548007
110,637335
111,419070
112,651557
113,886173
114,293438
115,43580
116,99057
117,241699
118,99161
119,715397
120,667398
121,722527
122,415617
123,6275
124,741140
125,924303
126,685062
127,20609
128,276982
129,399792
130,358992
131,327049
132,10106
133,629776
134,830365
135,416675
136,138264
137,524118
138,8075
139,748908
140,24690
141,782195
142,654557
143,610862
144,979277
145,55195
146,171540
147,374919
148,555314
149,694741
150,370919
151,249179
152,26798
153,101779
154,375170
155,892277
156,811250
157,46996
158,350561
159,283358
160,567238
161,887666
162,871197
163,817649
164,472488
165,452114
166,369467
167,53695
168,688875
169,569423
170,120160
171,255736
172,168533
173,471514
174,808579
175,931017
176,201616
177,525783
178,403307
179,73515
180,977328
181,720556
182,555695
183,247883
184,147564
185,312978
186,16961
187,819089
188,350052
189,651853
190,514396
191,214340
192,113123
193,859519
194,522659
195,785034
196,951412
197,98212
198,603596
199,406495
200,23351
201,879177
202,23171
203,549736
204,427582
205,467341
206,262651
207,292506
208,517293
209,983108
210,144795
211,4257
212,464192
213,403124
214,694163
215,242640
216,453924
217,229185
218,776115
219,800936
220,572157
221,484525
222,658194
223,861704
224,372054
225,172999
226,218388
227,325443
228,258134
229,524997
230,676282
231,550003
232,133859
233,122634
234,348658
235,482729
236,381881
237,378638
238,9899
239,16405
240,308418
241,646779
242,148985
243,741091
244,515695
245,678678
246,8304
247,907957
248,119700
249,387060
250,468771
251,596549
252,654617
253,862283
254,613297
255,37348
256,621207
257,162492
258,365349
259,524205
260,724795
261,113911
262,69072
263,336741
264,928625
265,929882
266,991727
267,714674
268,351128
269,490909
270,39466
271,227049
272,578333
273,929999
274,924239
275,641781
276,644903
277,511753
278,49679
279,52949
280,762633
281,270602
282,927302
283,990874
284,204953
285,87053
286,985781
287,640632
288,156074
289,89857
290,253285
291,211579
292,785989
293,413696
294,817524
295,321688
296,391927
297,432923
298,8773
299,183292
300,33055
301,161143
302,573125
303,400894
304,467911
305,406002
306,769113
307,370378
308,980927
309,598958
310,499310
311,708145
312,367183
313,939710
314,683541
315,420564
316,803956
317,225320
318,315720
319,554733
320,695571
321,616351
322,2716
323,848320
324,739152
325,869629
326,724636
327,111455
328,156332
329,935238
330,660250
331,135914
332,261555
333,412396
334,580994
335,561381
336,796204
337,557420
338,263759
339,442578
340,712117
341,849906
342,988620
343,513275
344,604641
345,930587
346,27271
347,883139
348,152975
349,800132
350,858489
351,771793
352,788444
353,739533
354,428934
355,190331
356,942973
357,186382
358,502537
359,814640
360,320660
361,623224
362,987965
363,835638
364,493534
365,661683
366,208424
367,883568
368,209559
369,497770
370,683886
371,134827
372,961118
373,599
374,200229
375,151411
376,108647
377,178485
378,643524
379,904605
380,238499
381,851422
382,112148
383,394398
384,295562
385,178454
386,638217
387,790195
388,841591
389,758999
390,272398
391,341421
392,531350
393,697080
394,663536
395,900892
396,85776
397,880109
398,565230
399,964438
400,114034
401,800471
402,317334
403,854285
404,142950
405,976526
406,424637
407,467724
408,150254
409,782375
410,362529
411,560391
412,804151
413,699087
414,232830
415,37563
416,323968
417,48988
418,584833
419,338599
420,184641
421,794766
422,844462
423,786636
424,928865
425,349109
426,105603
427,935924
428,573543
429,982726
430,167067
431,192289
432,313851
433,649108
434,15198
435,657223
436,431456
437,90901
438,95897
439,437733
440,748223
441,770971
442,598390
443,205824
444,938657
445,202511
446,117079
447,3343
448,757198
449,291859
450,85406
451,180791
452,734938
453,894642
454,987824
455,35773
456,785725
457,411597
458,84607
459,443140
460,986585
461,189402
462,655319
463,842611
464,468670
465,405247
466,535014
467,122046
468,963564
469,470808
470,555221
471,800149
472,622010
473,236322
474,624222
475,263434
476,52386
477,141422
478,365392
479,572187
480,201827
481,455020
482,204008
483,803502
484,625991
485,58773
486,330362
487,294365
488,924223
489,87302
490,528644
491,92167
492,102360
493,213921
494,178957
495,563630
496,765180
497,471809
498,12172
499,682349
500,33043
501,140457
502,512006
503,512155
504,385091
505,846682
506,301130
507,913979
508,346542
509,309580
510,625395
511,906405
512,588455
513,259893
514,137954
515,159635
516,886665
517,434462
518,465979
519,112351
520,821280
521,46825
522,768028
523,79269
524,291075
525,928987
526,423179
527,948510
528,600947
529,914579
530,248970
531,282781
532,997478
533,453292
534,86716
535,900023
536,221619
537,766485
538,344826
539,77124
540,711167
541,213287
542,898554
543,307263
544,977781
545,599438
546,532062
547,164406
548,305353
549,61773
550,158329
551,386706
552,750047
553,106452
554,858226
555,705249
556,888364
557,751164
558,610302
559,848357
560,855270
561,183957
562,807734
563,432557
564,974302
565,501853
566,527105
567,830770
568,195124
569,56786
570,3229
571,127561
572,954373
573,780561
574,480846
575,994239
576,737734
577,197834
578,851420
579,429028
580,102603
581,993545
582,298735
583,602151
584,185607
585,270725
586,43316
587,376949
588,389290
589,943241
590,614659
591,368005
592,19602
593,383373
594,623156
595,838940
596,441632
597,974794
598,949643
599,62184
600,128003
601,385515
602,493433
603,26369
604,936964
605,574060
606,703160
607,293046
608,374985
609,77957
610,557320
611,963251
612,184189
613,718140
614,504524
615,314211
616,605786
617,552585
618,43532
619,93459
620,516902
621,174728
622,600656
623,909363
624,602454
625,461479
626,527168
627,629295
628,525648
629,742630
630,140460
631,676541
632,667045
633,140910
634,937906
635,100862
636,359065
637,712710
638,70184
639,762342
640,869417
641,715355
642,881136
643,113983
644,261069
645,991929
646,129875
647,194459
648,638918
649,518882
650,983792
651,841348
652,118797
653,585581
654,278810
655,72459
656,288362
657,823053
658,304234
659,485688
660,378868
661,695670
662,126035
663,998862
664,79060
665,323283
666,753117
667,951735
668,113320
669,854475
670,422202
671,548459
672,473932
673,914621
674,631065
675,459732
676,506209
677,704258
678,297253
679,863559
680,265341
681,423731
682,841347
683,225045
684,698311
685,313397
686,539293
687,588453
688,970091
689,856989
690,663652
691,521431
692,818129
693,176822
694,935078
695,52283
696,857707
697,803540
698,464543
699,21858
700,617678
701,584105
702,448040
703,937580
704,679165
705,772080
706,880814
707,825816
708,50534
709,638616
710,745314
711,566280
712,150636
713,262056
714,341747
715,930762
716,482610
717,316064
718,831144
719,119982
720,807465
721,449943
722,45248
723,583612
724,209514
725,424822
726,72401
727,714045
728,51541
729,846777
730,777955
731,533180
732,918182
733,336849
734,300917
735,54459
736,12754
737,472306
738,977933
739,394307
740,745673
741,95492
742,581010
743,936439
744,850572
745,655723
746,257855
747,532336
748,84679
749,644579
750,691716
751,739220
752,408719
753,877424
754,369935
755,799599
756,796406
757,616362
758,753564
759,895271
760,873212
761,5465
762,574061
763,270481
764,88175
765,322948
766,565981
767,732186
768,214547
769,59581
770,490825
771,408954
772,52523
773,894594
774,706840
775,333307
776,341127
777,130319
778,273038
779,751310
780,444420
781,716272
782,305988
783,279817
784,727127
785,760288
786,962065
787,838574
788,827789
789,260420
790,294968
791,843778
792,261738
793,745299
794,967677
795,267377
796,261672
797,307951
798,598103
799,196821
800,649472
801,66293
802,795678
803,547901
804,389820
805,524693
806,752920
807,142244
808,130654
809,436675
810,467183
811,103427
812,105953
813,802905
814,862795
815,635010
816,753590
817,316444
818,145263
819,626571
820,903469
821,-64411
822,816831
823,806785
824,779369
825,-37260
826,497641
827,-628548
828,-197633
829,725089
830,-534024
831,-422917
832,-701704
833,-15660
834,-581251
835,639179
836,495049
837,-303934
838,-464428
839,-260117
840,-120537
841,-991486
842,-827267
843,-490182
844,190499
845,-95470
846,895399
847,-537146
848,-861544
849,388413
850,-670202
851,256832
852,913863
853,808629
854,116902
855,644830
856,-703861
857,-960883
858,-762117
859,-42528
860,-559750
861,-650068
862,-66547
863,-414718
864,994844
865,-295964
866,-836220
867,-439562
868,353953
869,205824
870,225554
871,-15309
872,870241
873,812363
874,-680031
875,71692
876,-311409
877,264206
878,-709680
879,311845
880,297763
881,213404
882,340916
883,-798053
884,156796
885,-565049
886,115942
887,-800103
888,888518
889,-79446
890,77829
891,-968889
892,-582946
893,114742
894,508251
895,901599
896,-179524
897,303946
898,-469208
899,766295
900,-671366
901,216053
902,-472588
903,-397887
904,-155968
905,-61273
906,-23057
907,843787
908,-550540
909,157674
910,356583
911,-916541
912,-787576
913,-885593
914,435622
915,183956
916,268189
917,-1877
918,-538587
919,-564227
920,-818114
921,787671
922,577385
923,-884618
924,-34239
925,698165
926,87629
927,794587
928,-878022
929,134677
930,67514
931,-466354
932,-69612
933,152285
934,756053
935,558012
936,661723
937,284414
938,-798254
939,-207093
