ID,n,det
1,-9227560,1
2,-4044538,1
3,-4200713,1
4,-6828368,1
5,-7467273,1
6,-8471389,1
7,2184169,1
8,-4875869,1
9,6047612,1
10,-3881404,1
11,-9993350,1
12,-9874168,1
13,-5706794,1
14,-6886667,1
15,1528425,1
16,-2751559,1
17,7200475,1
18,4017693,1
19,2509831,1
20,-8652609,1
21,-1258694,1
22,9105810,1
23,-4626232,1
24,-4269182,1
25,-2226825,1
26,992119,1
27,-2894483,1
28,4240045,1
29,3620630,1
30,2317931,1
31,7319844,1
32,8666076,1
33,3788710,1
34,-215759,1
35,-5083312,1
36,-6415206,1
37,9084820,1
38,-9736101,1
39,-3493880,1
40,1862453,1
41,3344497,1
42,-9647721,1
43,-353183,1
44,-3046675,1
45,-6841769,1
46,-253819,1
47,2296034,1
48,-3603094,1
49,7285904,1
50,-9392678,1
51,-4400761,0
52,2954853,0
53,-4096052,0
54,8090298,0
55,-4984151,0
56,-3392369,0
57,-2233445,0
58,-9443372,0
59,8015039,0
60,-3478361,0
61,-7011551,0
62,3809572,0
63,6536753,0
64,-1965886,0
65,-2587816,0
66,-6098638,0
67,-4950745,0
68,-81392,0
69,-543480,0
70,1922894,0
71,-1013686,0
72,9336532,0
73,-2618279,0
74,-8014645,0
75,-2730232,0
76,-4303028,0
77,4679472,0
78,-9505618,0
79,-1472768,0
80,-1925984,0
81,-3152869,0
82,4753092,0
83,6987927,0
84,2602864,0
85,6270255,0
86,-9473637,0
87,3057506,0
88,-3611732,0
89,-3814421,0
90,9772430,0
91,-7137392,0
92,86251,0
93,2257620,0
94,-1022149,0
95,-3343329,0
96,-6426666,0
97,-481114,0
98,9768647,0
99,5753526,0
100,-8893848,0
101,-103085,1
102,757660,1
103,329302,1
104,935370,1
105,71533,1
106,-602701,1
107,-594895,1
108,500424,1
109,601490,1
110,-647372,1
111,445740,1
112,60228,1
113,-925270,1
114,823291,1
115,-868420,1
116,948377,1
117,-513830,1
118,-442595,1
119,-551221,1
120,951731,1
121,-992873,1
122,512682,1
123,-193408,1
