ID,x,z
1,-2009334,903231
2,-4167490,3486694
3,2649801,4162708
4,4275904,-9480356
5,4989888,9962201
6,2215565,-4867607
7,6997471,4710925
8,-1967868,-7830902
9,2434802,5715634
10,9591041,-8237245
11,7544653,-8669085
12,3701262,-8362007
13,7818494,2688438
14,-1381763,-3936058
15,-5846398,5738983
16,2912078,-4809594
17,-3032442,-9917406
18,304576,-9819913
19,4861297,1473400
20,-1419920,754242
21,2103731,-9411974
22,-5376728,7013554
23,6516974,9008717
24,5029869,8889666
25,-1419340,-442449
26,183224,211934
27,6286191,-9613501
28,6034956,-475722
29,7618517,9159318
30,-7336871,7588451
31,-659111,2832333
32,7718075,-7186035
33,-6177089,8215583
34,-1934902,6337569
35,-7095487,5304395
36,170097,-2964610
37,2516200,-4647730
38,-9343221,-5275243
39,1823397,-4389739
40,-8112818,9567893
41,-7082400,8244675
42,6609832,2317021
43,5317195,-5195915
44,9946243,503897
45,190661,2182470
46,-5774358,548839
47,9569160,-5255948
48,-7930945,1379546
49,-4166092,5148847
50,5152437,-8109753
51,1548089,-2667049
52,2236620,-4838604
53,-6800287,5735323
54,-2618667,-1247146
55,7251161,-9511389
56,4451260,-6262063
57,9158038,871630
58,8821225,-308269
59,-2830813,1223520
60,4462488,4533466
61,-6859084,8543733
62,301564,7781165
63,-4164908,-7842846
64,4914761,-9966810
65,-7176882,2232692
66,4529021,809245
67,-9692190,-697870
68,5556524,-3557173
69,-9780191,-8175034
70,6010554,-1558926
71,-4232294,8455434
72,-6998951,6047724
73,1202455,-1462591
74,-9299356,1740782
75,-8322095,-4902842
76,9374277,-294764
77,-3470012,-981030
78,6026721,6723013
79,7516729,-3060597
80,-8340590,-2167267
81,-1754421,7213115
82,-8532836,-2843036
83,-5131257,-1542172
84,-8290451,-7919947
85,-5380744,9915616
86,-1204722,-4421632
87,4841578,4249684
88,4183552,9434793
89,-8538368,-4524514
90,9635113,-8619732
91,3392923,6664897
92,-381125,-4701381
93,1133163,3807213
94,278679,9510732
95,-4805391,6607163
96,1361922,1086514
97,7229065,8490296
98,-370282,3635573
99,-9785502,1327060
100,9892357,-4834234
101,282189,-990618
102,-926683,-677018
103,983915,30812
104,-741859,-802371
105,24732,-161641
106,601543,814331
107,519789,535679
108,-741931,717737
109,-847875,13738
110,-695780,586404
111,-11412,638363
112,383426,627669
113,709272,339604
114,741539,219348
115,425481,407111
116,-493081,344433
117,324397,-356862
118,540613,-493215
119,-236995,-896756
120,-292312,-517650
121,694953,710123
122,329683,-971809
123,-386634,994364
124,656276,412096
125,448796,-996518
126,192831,784014
127,304707,-703513
128,-310167,-303670
129,-958156,60270
130,219541,-78665
131,810389,-744311
132,-640009,22257
133,-389606,697800
134,573734,-297023
135,-191572,520366
136,-326487,-475583
137,155102,-264665
138,740002,516645
139,712210,963253
140,950852,-970633
141,9713,581218
142,-803895,-437599
143,-50459,-381177
144,118694,-700525
145,715964,-549
146,-780207,-741195
147,455735,717435
148,991379,-611578
149,766868,236003
150,-18001,-165607
151,-452810,-826858
152,466220,823225
153,554620,-655449
154,-407958,515934
155,-157674,-152422
156,-424225,620617
157,400527,-318037
158,195379,-916160
159,-142144,-350354
160,722713,403858
161,-728626,884116
162,-454886,968728
163,-274904,-665825
164,442342,-369950
165,127881,-309843
166,-618798,200340
167,781110,886496
168,-740264,458628
169,893200,320399
170,-49604,-65471
171,746692,-561817
172,-603584,920452
