ID,x,det
1,-267056,1
2,9297296,1
3,-9818624,1
4,-5068245,1
5,-5477462,1
6,5058754,1
7,-779380,1
8,-6178451,1
9,1399656,1
10,-9758760,1
11,9267334,1
12,-4104093,1
13,-4520936,1
14,1368232,1
15,5167400,1
16,9477837,1
17,-2424274,1
18,8810929,1
19,-4169424,1
20,-2955676,1
21,-288879,1
22,-8269342,1
23,8983741,1
24,-1804738,1
25,-7228455,1
26,-1087780,1
27,-280009,1
28,1128597,1
29,-1802344,1
30,8090167,1
31,9429132,1
32,4905891,1
33,4556861,1
34,-3531805,1
35,-6195575,1
36,-8537754,1
37,2865405,1
38,5643400,1
39,866866,1
40,-8323251,1
41,7119683,1
42,3256324,1
43,7016312,1
44,7666934,1
45,-9110852,1
46,8186542,1
47,-1941681,1
48,3662562,1
49,5713206,1
50,6039088,1
51,-1822442,0
52,9975206,0
53,-1115297,0
54,-9597235,0
55,4643809,0
56,-9482712,0
57,4149930,0
58,-5817896,0
59,-5446531,0
60,-8176121,0
61,-4422350,0
62,-1903414,0
63,-1946109,0
64,8738515,0
65,-6949805,0
66,2026418,0
67,6387075,0
68,-4597216,0
69,5048891,0
70,-6438502,0
71,1149972,0
72,-1365292,0
73,8136287,0
74,-273203,0
75,434574,0
76,5600547,0
77,-511332,0
78,3114426,0
79,-9599534,0
80,-8353422,0
81,-9770011,0
82,-1302512,0
83,772682,0
84,-504930,0
85,9397637,0
86,-8361825,0
87,-7723258,0
88,-8509022,0
89,-9245206,0
90,-7889862,0
91,-5701139,0
92,1753293,0
93,-2896386,0
94,-9821689,0
95,3173931,0
96,9943715,0
97,4724236,0
98,1650703,0
99,6607829,0
100,-1338243,0
101,90313,1
102,-722100,1
103,344110,1
104,65773,1
105,721701,1
106,28279,1
107,-225881,1
108,541280,1
109,-33800,1
110,-19995,1
111,191696,1
112,-322056,1
113,238756,1
114,901950,1
115,641907,1
116,258684,1
117,-939814,1
118,58132,1
119,361033,1
120,-47227,1
121,-450123,1
122,-60057,1
123,545087,1
124,50871,1
125,-401056,1
126,-605160,1
127,-994664,1
128,-521623,1
129,858278,1
130,-284657,1
131,-514341,1
132,-146439,1
133,-853878,1
134,-674888,1
135,-620640,1
136,-669246,1
137,947621,1
138,-960003,1
139,-83287,1
140,-556980,1
141,9207,1
142,53292,1
143,769038,1
144,-187979,1
145,-884107,1
146,554588,1
147,-191606,1
148,-963646,1
149,-95195,1
150,559925,1
151,-147562,1
152,60592,1
153,-892116,1
154,909797,1
155,968141,1
156,-824987,1
157,-442592,1
158,-729571,1
159,-978416,1
160,-811036,1
161,-622181,1
162,37204,1
163,-155839,1
164,280652,1
165,954267,1
166,-362128,1
167,101850,1
168,992521,1
169,-756844,1
170,309713,1
171,285592,1
172,165263,1
173,-508609,1
174,-404830,1
175,687477,1
176,940232,1
177,907530,1
178,80327,1
179,-819764,1
180,-805870,1
181,775634,1
182,260975,1
183,400599,1
184,721233,1
185,216150,1
186,-319279,1
187,-137841,1
188,630553,1
189,-835819,1
190,-150664,1
191,-271744,1
192,235966,1
193,-245980,1
194,50031,1
195,-20691,1
196,-616616,1
197,-42550,1
198,157848,1
199,-210060,1
200,129394,1
201,-896195,1
202,54583,1
203,265372,1
204,318404,1
205,703544,1
206,514960,1
207,-547675,1
208,621267,1
209,-534779,1
210,412816,1
211,629387,1
212,-734669,1
213,-651621,1
214,18202,1
215,92459,1
216,-395226,1
217,101616,1
218,123734,1
219,-649137,1
220,699385,1
221,984753,1
222,-444976,1
223,-748505,1
224,871441,1
225,363749,1
226,187693,1
227,-966929,1
228,-295769,1
229,956976,1
230,-885395,1
231,954639,1
232,-27887,1
233,-450427,1
234,305839,1
235,113249,1
236,-920075,1
237,-591628,1
238,-261023,1
239,466646,1
240,924078,1
241,526409,1
242,827516,1
243,975705,1
244,197484,1
245,-961376,1
246,-894536,1
247,-972849,1
248,161256,1
249,-621450,1
250,220087,1
251,-762800,1
252,-348856,1
253,806173,1
254,768521,1
255,649240,1
256,-113017,1
257,-78040,1
258,778135,1
259,-249774,1
260,901472,1
261,-656597,1
262,570805,1
263,-134431,1
264,204266,1
265,926988,1
266,-63869,1
267,875145,1
268,-264304,1
269,-449336,1
270,-668659,1
271,-342285,1
272,-304778,1
273,177087,1
274,-988875,1
275,968681,1
276,392110,1
277,522649,1
278,848220,1
279,-968884,1
280,156738,1
281,575564,1
282,269659,1
283,-272191,1
284,859451,1
285,918788,1
286,-994491,1
287,-61714,1
288,-335527,1
289,-488726,1
290,-647069,1
291,178531,1
292,874187,1
293,673446,1
294,-788097,1
295,-796176,1
296,726116,1
297,244736,1
298,-819254,1
299,-185549,1
300,-753773,1
301,-795011,1
302,-473529,1
303,-461060,1
304,168098,1
305,-559263,1
306,-357455,1
307,471870,1
308,921529,1
309,237762,1
310,753530,1
311,514584,1
312,12318,1
313,-237933,1
314,678021,1
315,-98220,1
