ID,x,det
1,7604345,1
2,-1929349,1
3,-3732269,1
4,-5794149,1
5,8719371,1
6,2874115,1
7,-2725132,1
8,5133172,1
9,-3334457,1
10,-6490640,1
11,6047296,1
12,2858548,1
13,7340892,1
14,-512232,1
15,-240539,1
16,-9415059,1
17,4405249,1
18,-213359,1
19,6394920,1
20,-3344273,1
21,-3889312,1
22,-6667412,1
23,8282900,1
24,-5932555,1
25,6811599,1
26,7303032,1
27,1925497,1
28,-9097499,1
29,-4115604,1
30,4032511,1
31,7325888,1
32,6401864,1
33,5781924,1
34,6752971,1
35,-9311864,1
36,9354862,1
37,-7616100,1
38,-730477,1
39,-3049983,1
40,5711999,1
41,6667000,1
42,8093103,1
43,7560916,1
44,5728415,1
45,-3273362,1
46,-7410830,1
47,-1206701,1
48,5588507,1
49,6196875,1
50,7259108,1
51,-8300471,0
52,2737804,0
53,-459260,0
54,-2017231,0
55,-1254031,0
56,-1816889,0
57,-6146852,0
58,-7398736,0
59,5337748,0
60,-2295952,0
61,-3896855,0
62,-3443346,0
63,6887062,0
64,-9908061,0
65,-9387357,0
66,-5846111,0
67,5102176,0
68,-3451994,0
69,-7751793,0
70,-9695166,0
71,-9507949,0
72,747031,0
73,-9575349,0
74,4046509,0
75,9769855,0
76,-7060842,0
77,-5789696,0
78,8929694,0
79,1877696,0
80,8275776,0
81,5608153,0
82,186270,0
83,2068069,0
84,-5742490,0
85,-5992723,0
86,-5579521,0
87,1488987,0
88,-3052972,0
89,-543706,0
90,1673160,0
91,1554694,0
92,7607915,0
93,-8815103,0
94,-4190154,0
95,-2661825,0
96,-7232284,0
97,7354488,0
98,-1177470,0
99,5397933,0
100,6800946,0
101,848273,1
102,538575,1
103,625437,1
104,222985,1
105,-349969,1
106,17210,1
107,-919393,1
108,487670,1
109,-696606,1
110,592031,1
111,203494,1
112,149661,1
113,636283,1
114,767962,1
115,796516,1
116,925204,1
117,895123,1
118,990001,1
119,489356,1
120,628826,1
121,-964657,1
122,503255,1
123,-246379,1
124,-768554,1
125,685071,1
126,897489,1
127,-149511,1
128,-409391,1
129,-113828,1
130,569309,1
131,768845,1
132,556140,1
133,738795,1
134,-648300,1
135,-845322,1
136,931180,1
137,293930,1
138,-572116,1
139,-496830,1
140,-115896,1
141,688641,1
142,646450,1
143,133131,1
144,523042,1
145,39282,1
146,-458082,1
147,396001,1
148,46104,1
149,-299573,1
150,-282882,1
151,-881205,1
152,-280737,1
153,-726390,1
154,-402393,1
155,950342,1
156,547119,1
157,-181109,1
158,-524186,1
159,-390794,1
160,-88199,1
161,-553702,1
162,242364,1
163,981403,1
164,291685,1
165,481901,1
166,-988234,1
167,164029,1
168,185208,1
169,126122,1
170,857943,1
171,-623748,1
172,-516422,1
173,450927,1
174,873511,1
175,300213,1
176,942208,1
177,42475,1
178,492977,1
179,624355,1
180,-175969,1
181,-3141,1
182,-510657,1
183,878407,1
184,828792,1
185,-327891,1
186,-671983,1
187,-996309,1
188,872240,1
189,562343,1
190,-324394,1
191,950811,1
192,-206830,1
193,454080,1
194,333131,1
195,837581,1
196,500491,1
197,-682572,1
198,746308,1
199,-917507,1
200,-179712,1
201,621585,1
202,780675,1
203,614237,1
204,172363,1
205,-260063,1
206,-343785,1
207,-553689,1
208,-948251,1
209,519270,1
210,-840801,1
211,-365966,1
212,-829414,1
213,-114884,1
214,71667,1
215,-473167,1
216,-69638,1
217,219161,1
218,227621,1
219,-449678,1
220,-985727,1
221,398193,1
222,-136735,1
223,-94915,1
224,-423866,1
225,405478,1
226,-601115,1
227,521681,1
228,133657,1
229,661071,1
230,405921,1
231,-923223,1
232,853493,1
233,894675,1
234,-216660,1
235,-140785,1
236,962628,1
237,99225,1
238,-934026,1
239,885104,1
