ID,x,y
1,8589517,6240715
2,8321094,388181
3,-7632014,-5770692
4,-8543193,-7753988
5,8548546,-4238938
6,6125316,3584156
7,5484478,-3921945
8,7264303,739999
9,-8552869,2323771
10,-2448153,-3378009
11,4015789,6397145
12,-3331104,-7057563
13,-8404005,8395511
14,-905590,-196115
15,9875940,-7538256
16,-6859585,5755196
17,8322169,-4700794
18,8766446,6663100
19,8233733,6530964
20,-2417683,96500
21,5004620,3074384
22,1110171,8475289
23,5853519,8856057
24,8353795,7880208
25,8862779,3514407
26,7324036,9520288
27,9923748,-5282568
28,-9121473,6374785
29,-6239829,231682
30,-9482968,6672454
31,-7088169,-4072633
32,-4210477,-1842846
33,7916486,-4295184
34,3194181,2669026
35,-8637909,1594005
36,2057547,2861469
37,3361716,3980286
38,-9093005,-8910045
39,4686155,3546328
40,6458278,9765808
41,4676843,-8220673
42,8679607,5113988
43,-9218261,5409101
44,-392285,5590782
45,311425,-6831242
46,-7340884,8139876
47,-4857571,7315093
48,9586290,4978153
49,-9117149,-8291409
50,-129379,1875793
51,-4224499,1576594
52,5556148,-5586670
53,-9403584,-8412832
54,2530073,6131167
55,2043991,5384372
56,-2949506,6427776
57,-2674806,-4539114
58,-6461878,-517941
59,1399716,-9757496
60,2071121,6620364
61,5672144,-8331166
62,3443390,-8936930
63,6142894,6321964
64,-4617161,-1297299
65,-5697317,-9865275
66,-476458,-1286063
67,-1897614,-159992
68,4391216,6881352
69,1849853,-1755706
70,3289877,1014900
71,9805537,-8658933
72,7877922,-217866
73,-1357001,-5102835
74,-3413523,-9655678
75,9968369,-3131134
76,-358644,6376720
77,-4071410,-802334
78,8696734,9192303
79,362952,-9973039
80,7682402,9692739
81,5153615,-7594354
82,7795065,-565763
83,-2058628,5086388
84,4394749,7635797
85,-2210429,7202189
86,1527574,2054843
87,1900369,-7431692
88,3120357,-790390
89,-45842,2829701
90,-5466202,6654534
91,-575103,3912214
92,2039879,3785408
93,8765610,293330
94,-1560947,-4026106
95,-2638356,7655811
96,-4260438,8028523
97,3201125,9900080
98,-9111751,6233374
99,-485204,3862323
100,-5367272,-7397124
101,-533547,752615
102,730560,536366
103,9955,-3952
104,809882,271760
105,-972503,-829584
106,-917932,694596
107,-211802,-239741
108,-185378,684185
109,194274,550821
110,-106267,271786
111,-907596,-342416
112,24458,853171
113,-520584,-603970
114,-222746,724831
115,320072,-243982
116,-790700,965087
117,-761030,980385
118,-976356,867372
119,830552,-739961
120,-439849,-690249
121,206276,-283408
122,-334049,-712560
123,692876,474701
124,-176164,-438404
125,-966577,-474407
126,-637274,-768618
127,-586400,-199851
128,402469,-937306
129,-282293,188539
130,221703,982190
131,311341,-738180
132,-114115,202856
133,748841,548660
134,-124650,572596
135,285742,386157
136,24058,-216437
137,-149256,302840
138,450264,217071
139,905811,858716
140,-965930,-100598
141,-252385,603540
142,77849,762530
143,135322,-738164
144,-766836,857393
145,-520876,491965
146,-965105,-255671
147,838419,-632440
148,530391,642314
149,755608,-545238
150,602562,-942995
151,451307,726441
152,-100753,-676878
153,-102031,-68522
154,-668970,-369522
155,-981667,-80869
156,-580045,-632982
157,-889376,-49166
158,-131812,296635
159,453636,-619816
160,519934,787007
161,342582,-906360
162,450364,84012
163,-264432,704578
164,296715,588400
165,-281814,-523063
166,-54007,442592
167,773371,692228
168,223714,562678
169,-1833,626148
170,-439418,-488903
171,96958,961709
172,726705,253126
173,227812,-288231
174,-329242,-525656
175,715584,-816855
176,-577357,-580360
177,-778077,788206
178,328071,551544
179,-963311,-683673
180,888976,-728671
181,-686563,470036
182,760997,214088
183,23940,-575382
184,-50357,221064
185,-380729,-882074
186,-681296,5789
187,-350260,-76239
188,12220,-66369
189,920799,508626
