ID,x,y
1,3651534,-5117292
2,6291811,1120970
3,-550689,-9879456
4,7906024,4413535
5,1656771,6441850
6,-1392143,8339909
7,6928039,9641018
8,-6271283,-4341242
9,-835014,-7212289
10,-5875029,-4397395
11,8966148,4755338
12,-2422352,-3669067
13,544240,2965436
14,6870267,-9933713
15,-4470558,6203806
16,-6360816,-740771
17,-8615495,-4006376
18,-2776995,-1991416
19,-2960149,7943370
20,-8055553,-2754553
21,-6629404,4594569
22,6226156,1612298
23,7934466,-2028803
24,-154895,9704112
25,3145809,-6640758
26,-7711542,624196
27,2442077,1600915
28,6123842,8119126
29,-3774369,-2686871
30,-1030667,7661467
31,-6692430,-705251
32,3848339,-9229599
33,-765181,-5791343
34,-3757711,-2178669
35,4128550,751601
36,7636493,-3908798
37,6119360,2477062
38,2180771,9356274
39,4603738,-5603412
40,-620821,-433761
41,-9495061,6949365
42,4116608,83672
43,-9403990,5503621
44,-5650195,-9969396
45,6091840,2071797
46,5071226,-8877378
47,9643504,-2949988
48,-9672018,-156851
49,9416402,4964859
50,3513261,-2539670
51,-2731322,8593435
52,5549853,658252
53,-5317818,-8612199
54,9438467,822713
55,-1287350,-9848636
56,7257547,-4293356
57,601955,3952080
58,8573888,-9935670
59,1581001,3486110
60,6417291,7998983
61,8744244,1891453
62,2451436,-1234444
63,1091305,-9862269
64,-7369675,933283
65,-7166220,2082954
66,-2891950,-619612
67,4916813,2779239
68,3760228,8881384
69,-4092994,6331984
70,7772832,-1966590
71,2179997,5347245
72,-9642410,4561447
73,8571531,3860912
74,-1019948,1091475
75,-278333,4060422
76,-6157562,3656265
77,-5789197,-9561581
78,2327102,5982154
79,-7378847,-5764906
80,8436360,-5727588
81,-4990413,3026799
82,2786752,4465858
83,-583566,4744865
84,-9580305,7241665
85,2713187,-2579712
86,3411279,-9577425
87,5328435,3544846
88,-3293460,3991755
89,-7716419,2629430
90,516461,361961
91,7328141,-9113990
92,1186452,-2101988
93,-8968589,9998918
94,-5269829,4781092
95,2856026,2124575
96,-2107636,-2586219
97,-4095981,-6688502
98,6632539,-2298776
99,-3501454,-6131028
100,-1870221,2140718
101,-844811,279846
102,-198608,-212672
103,584229,852378
104,-866217,442378
105,518189,-313623
106,-989590,950279
107,672290,-534911
108,981156,760258
109,832654,-835318
110,877623,-865290
111,-14514,129102
112,-69342,-292339
113,-991756,774731
114,-139213,-503292
115,-812458,626453
116,713774,-898657
117,687846,-858054
118,-439607,966152
119,-548412,-906
120,223956,-950009
121,901637,-103744
122,60878,282082
123,651861,143262
124,-557394,-990740
125,683773,-638869
126,-46376,-894144
127,-424538,-818422
128,-239497,19550
129,-615914,509108
130,494797,-20876
131,-140047,436178
132,114513,-826740
133,-105667,-676583
134,-459229,-862269
135,620317,38734
136,-221833,411902
137,-475038,-579245
138,933652,460876
139,462930,-13563
140,-145012,-974014
141,-965416,-953067
142,-346149,-493440
143,852194,671321
144,-242618,-849816
145,27864,930854
146,-599245,-751033
147,-657284,882776
148,-714113,-2779
149,-932619,-555153
150,-249709,-385292
151,-126860,-992330
152,-662396,935080
153,-279706,472876
154,360336,-733407
155,199139,-229400
156,767371,-992609
157,633846,128290
158,-412835,817322
159,893024,-329717
160,432177,222247
161,850409,-528517
162,935890,-308656
163,186238,208475
164,-689559,-467157
165,991961,-607955
166,-699813,789979
167,-163669,309853
168,753650,-4608
169,333604,976679
170,-586230,649229
171,-482520,-552494
172,128668,-97341
173,-441033,229450
174,927218,628493
175,235998,101017
176,310858,467436
177,962561,-117065
178,-27562,195789
179,-688593,223012
180,-265656,-705506
181,978262,681383
182,-515121,976318
183,-646482,383585
184,268164,347991
185,-110267,-977557
186,-832021,121416
187,-257229,960743
188,552291,100381
189,253225,341462
190,-2893,-361386
191,-519751,-296768
192,-882631,303137
193,-423647,-629154
194,-175165,-120689
195,400227,-728538
196,461982,-942223
197,175212,-176205
198,756590,23900
199,702836,-734022
200,566270,-715099
201,-2266,575469
202,-28609,-915970
203,-351195,-934230
204,-220276,90820
205,-899797,-103843
206,414515,-453348
207,-584393,-206370
208,70323,-658373
209,-684077,-126253
210,-114589,-145789
211,-349179,900414
212,-50994,-61820
213,-313778,-900868
214,-205007,-869963
215,-596729,797910
216,-699832,933099
217,-77051,561567
218,62103,-98189
219,552896,712136
220,331329,847964
221,-117271,634672
222,821392,328957
223,-138927,-612424
224,-820672,-148890
225,685056,-718378
226,-728699,-757851
227,-374064,-837450
228,638117,536724
229,841047,-450664
230,-740420,-226253
231,460764,-807567
232,589707,118945
233,-46156,299581
234,616262,-392303
235,860069,-483756
236,-541449,215217
237,185315,937994
238,-163567,-25704
239,159735,-508369
240,83771,-11142
241,-763360,-820863
242,14952,838822
243,-728292,-930576
244,-717405,442748
245,-28416,740789
246,-31601,-624064
247,374063,956310
248,-92782,542144
249,513413,-477571
250,748346,-922468
251,723789,-869052
252,-759769,-95947
253,-653635,310139
254,955402,116660
255,839125,790433
256,761360,-192413
257,-608021,-584993
258,-556225,619360
259,-908927,554111
260,320076,-550211
261,-591682,-805401
262,77536,137136
263,-197095,136756
264,-641239,-784951
265,100157,-87763
266,-683793,-969257
267,-656128,-672190
268,52450,697438
269,-691906,758668
270,800910,810117
271,425337,964954
272,-271747,-503739
273,-409326,739259
274,-388318,-210542
275,-82272,-517290
276,-490120,674715
277,710450,46358
278,26820,-280763
279,-406542,-391645
280,531006,793196
281,-933597,825720
282,616414,810502
283,-69147,-637294
284,412808,-57484
285,-186377,418256
286,183427,-945352
287,-768198,-385516
288,-371970,532546
289,-850603,509633
290,58862,-876067
291,-268035,229541
292,985142,-238379
293,-542777,-746584
294,-183917,-141781
295,61625,-315249
296,-877826,293150
297,189965,-563349
298,383949,978299
299,-243857,-10092
300,974527,40970
301,361254,629044
302,-71074,409403
303,961509,108785
304,489738,-849343
305,327404,-913737
306,-769166,-132195
307,819652,-458618
308,864780,760737
309,-556729,479341
310,-387074,374387
311,-487321,528955
312,584086,739388
313,-278899,161059
314,354247,496398
315,631034,-484281
316,952337,171356
317,248439,108817
318,-693764,281117
319,-929205,-924864
320,-30641,403815
321,-218259,-574021
322,32537,463770
323,-158515,649300
324,421162,422808
325,-406364,771100
326,96846,-121401
327,668356,294289
328,159305,982385
329,80761,742678
330,-486618,297640
331,-336584,966192
332,367306,57359
333,650007,446551
334,-278219,-257583
335,-69629,546079
336,-19271,-529476
337,396154,978275
338,806985,157724
339,882885,-363474
340,363801,-749444
341,126351,-592442
342,140518,-464076
343,-950988,626792
344,-703094,-513593
345,631039,-630998
346,597750,534108
347,-828742,268274
348,-595159,807773
349,-724022,863872
350,-882436,-827190
351,-994923,691333
352,92687,-472378
353,-917683,414146
354,-516550,855014
355,250781,972200
356,583814,177483
357,-167867,-952081
358,508388,-280851
359,622565,-823482
360,-575301,-844313
361,46816,242081
362,-144062,-416490
363,-417458,-234243
364,476256,581377
365,234328,256845
366,-623978,228625
367,-566585,-328978
368,361265,-460926
369,-927269,874941
370,908617,-488759
371,457866,-351597
372,-349644,235196
373,-129446,-501833
374,314315,400368
375,618170,726207
376,72275,869316
377,178577,798778
378,959963,897708
379,-831545,146911
380,569639,971948
381,-157104,936438
382,-521658,-44345
383,937522,582209
384,-393593,-746993
385,-482892,500022
386,-822567,-563931
387,-776390,932240
388,-143356,576016
389,-510144,323498
390,595739,892398
391,680919,658256
392,498897,817410
393,888239,986676
394,-831905,726607
395,743825,745649
396,805852,-206638
397,387865,697556
398,-651719,-1516
399,141571,544576
400,15532,520014
401,-785363,635696
402,-764165,262207
403,-410966,989573
404,-605085,-682785
405,713807,-860684
406,-125710,-625925
407,163391,208127
408,828293,660299
409,-770857,-485021
410,-428006,203703
411,-98904,-782002
412,-148975,25329
413,454458,-796269
414,-820940,783199
415,-285454,912162
416,429550,-684969
417,124095,-655789
418,6467,-638160
419,467552,-177287
420,270551,-882535
421,541514,648152
422,470936,819468
