ID,y,z
1,1940083,7424199
2,9717701,8576676
3,2460871,-4123190
4,8997060,3754085
5,3044873,6980736
6,1132502,-5812749
7,-6694534,2140166
8,3150441,6066725
9,3580807,-2840490
10,3315174,-5828650
11,-7947407,-7031160
12,-8458036,-5773356
13,-9487942,-5523224
14,4989839,-5838575
15,-2409171,-9984403
16,5120404,4036070
17,3771487,9465080
18,4517226,1730325
19,-7005206,6181409
20,7127993,9640031
21,-4113837,-2619068
22,6982100,1036911
23,3847529,-6813086
24,-1837840,-4586905
25,-2810062,9167068
26,1511485,-1943214
27,200529,-7815337
28,4902918,-3413510
29,2911778,3911230
30,2001842,-8876962
31,8801583,-2088460
32,1739052,-3203290
33,9785805,-8449491
34,9994020,1927638
35,4584497,6924125
36,-5555746,2652151
37,4023596,9010605
38,1754029,5053613
39,-5879599,-4628895
40,-1171207,-7241689
41,3754573,7200563
42,-3242049,-5721110
43,1635305,-5305956
44,-9238946,7715017
45,-3582073,-567378
46,2221418,-7044371
47,7898201,-840009
48,-3954526,9127291
49,6456116,-2182139
50,8494648,-8210967
51,6955787,6889891
52,-5029078,3629248
53,108467,6250840
54,3197013,-7180015
55,-9619823,4387556
56,1981358,8885387
57,-6544094,-5215902
58,5715117,8594355
59,-7625555,6663280
60,5215256,648583
61,-940862,-4824259
62,7213598,-3159691
63,7520266,-5210102
64,396904,-4076690
65,4316978,2156801
66,9822231,-732804
67,7480931,-4154774
68,8964764,-4417815
69,4643197,7454584
70,7074914,2452406
71,9528325,6371356
72,4930068,6731391
73,-2936235,-6960175
74,-2912755,8101413
75,8033466,2807053
76,-2505696,9571451
77,7247995,1945984
78,1933413,-3188751
79,7163518,-5816983
80,-8699419,-4892740
81,1917651,9576781
82,-4554381,-4560734
83,-866465,-480605
84,4484401,-2653054
85,-4176277,9499862
86,-1410246,-8127814
87,-6564810,-3854050
88,7790605,-7372981
89,-3940911,-2328867
90,4585198,-2095839
91,-5987887,-7979586
92,5124268,-2682129
93,8495533,-8090493
94,3759860,8518594
95,4739032,-9529418
96,698921,2464630
97,5325818,1388682
98,9322714,7689890
99,-3307482,-8028320
100,1652755,8223281
101,837703,-315622
102,139417,663134
103,-841570,-110797
104,-16607,392596
105,-131243,-850798
106,485385,-518355
107,-970210,-290028
108,-256365,-865265
109,289208,449549
110,-267672,841952
111,-727949,379732
112,-752623,-112994
113,142138,-637170
114,-983957,-773114
115,-841682,735388
116,618657,-51460
117,999236,-658523
118,-666285,-946823
119,916819,397721
120,-474745,852043
121,-72595,-927493
122,-708897,589231
123,948732,719837
124,-964713,682806
125,202480,531093
126,179014,573544
127,277922,-599473
128,319520,790299
129,-860041,848707
130,-515397,-489857
131,632691,776360
132,-651388,163080
133,-380120,-700918
134,-216181,196276
135,-929731,-503022
136,961859,516958
137,225440,622020
138,-219959,-716978
139,944703,-604080
140,-883764,95286
141,-836900,-772870
142,633229,993479
143,870600,569401
144,-661348,-604092
145,-651249,-515286
146,-910192,103064
147,439387,-705739
148,-834973,-45622
149,633457,6261
150,809017,-441098
151,882063,604847
152,-428054,69301
153,-890082,249589
154,810743,344701
155,278839,-876264
156,-813911,-3070
157,285581,686053
158,-738655,880849
159,425297,358634
160,-671328,-31288
161,-318219,513287
162,643108,536372
163,-72327,-595392
164,64525,-342551
165,141783,925808
166,-205064,458518
167,549697,771118
168,802593,-675327
169,-189065,-349482
170,901379,924540
171,216707,123617
172,397370,-591898
173,261972,281021
174,18310,-690272
175,952074,-775169
176,909852,-355021
