ID,x,y,det
1,-5860024,9591339,1
2,-2336858,-3418942,1
3,-6102363,9882088,1
4,-8548786,2490136,1
5,-7819752,6014242,1
6,-573754,4535145,1
7,-708181,7113526,1
8,-4982066,4927301,1
9,-7203323,-8755905,1
10,-4354505,-4922878,1
11,-148764,8875628,1
12,-1261889,-7234898,1
13,-9690832,-6541847,1
14,-412655,-2076654,1
15,-6514843,2965397,1
16,-5789254,7929993,1
17,-4600149,-4534074,1
18,-3836447,2706323,1
19,-2761612,219314,1
20,-918213,8299386,1
21,-3862277,332032,1
22,-1948688,292134,1
23,-1214421,3449009,1
24,-1903237,-3279433,1
25,-9974405,3959180,1
26,-8827213,-3913079,1
27,-3284746,-2608178,1
28,-6003370,-4853189,1
29,-4295166,-9019056,1
30,-8234810,5439598,1
31,-4279333,7413820,1
32,-1582902,-7289658,1
33,-9087035,6479818,1
34,-6343292,-2723032,1
35,-6196602,8314584,1
36,-7919659,-2221060,1
37,-2543425,2051555,1
38,-9759367,-885001,1
39,-4349870,-4931074,1
40,-4236809,-5977342,1
41,-5834982,-4779440,1
42,-2732362,9707898,1
43,-7147195,2107947,1
44,-2857668,-4130149,1
45,-4075340,-6093682,1
46,-1149161,-520972,1
47,-7100993,9108378,1
48,-7717315,-5795853,1
49,-9293649,8800119,1
50,-2311111,9775276,1
51,-4871991,3857545,0
52,-589185,8458134,0
53,-8111996,9204979,0
54,-2258139,5033074,0
55,-8985704,6458999,0
56,-6843807,-5175435,0
57,-4149093,-3403515,0
58,-6575949,4791937,0
59,-6081059,-5651903,0
60,-8591577,6572807,0
61,-9297915,2141363,0
62,-8343158,-3292706,0
63,-6070924,1509390,0
64,-7029822,3650165,0
65,-8864881,4188648,0
66,-5004039,-4485595,0
67,-5533139,-97877,0
68,-9437058,-1447968,0
69,-2298134,-4103531,0
70,-6600863,-8056033,0
71,-1183535,-1099036,0
72,-3180592,3664826,0
73,-7928089,-956563,0
74,-801583,8620814,0
75,-1724350,5928462,0
76,-9160164,3528226,0
77,-2944000,1032585,0
78,-787633,1152242,0
79,-9999414,-4615205,0
80,-728004,-4173817,0
81,-3929089,4912782,0
82,-7083920,-6348348,0
83,-4176869,1028328,0
84,-5876921,-2713854,0
85,-4947947,-8475915,0
86,-939277,3177974,0
87,-6088518,3673796,0
88,-7807923,-9949,0
89,-8002390,2238572,0
90,-214139,5518733,0
91,-212403,6623759,0
92,-2883141,940881,0
93,-7945594,3060742,0
94,-7510063,-300985,0
95,-1139374,7140948,0
96,-6311945,-4271027,0
97,-838931,-2951707,0
98,-443621,-4449154,0
99,-4071869,351886,0
100,-8399483,1297874,0
101,-9263276,291033,1
102,-4656734,-717221,1
103,-8546750,647070,1
104,-4323967,-103000,1
105,-9263690,668874,1
106,-8096,-928479,1
107,-5334077,-377603,1
108,-1240578,-200889,1
109,-5522406,-759105,1
110,-4800755,-366554,1
111,-3142146,306638,1
112,-4896010,-132806,1
113,-2041717,239187,1
114,-1941529,19010,1
115,-1149350,513038,1
116,-9461905,199264,1
117,-6770256,-703333,1
118,-1207543,-289316,1
119,-1068682,-727299,1
120,-4459519,688018,1
121,-8605794,704272,1
122,-7605315,67989,1
123,-5692841,-189846,1
124,-735766,56915,1
125,-5303421,-277902,1
126,-3123311,-141127,1
127,-3188035,-449836,1
128,-3353985,-227721,1
129,-6754799,237223,1
130,-6524978,884855,1
131,-1792743,-170145,1
132,-5588052,216895,1
133,-9137520,488858,1
134,-1210853,604584,1
135,-5392431,849246,1
136,-2203755,658224,1
137,-6326949,856954,1
138,-8489027,-965584,1
139,-707191,773426,1
140,-5454587,-126063,1
141,-6264593,359548,1
142,-2250126,-531190,1
143,-8857306,-626124,1
144,-5149215,-798355,1
145,-1105801,544291,1
146,-6784536,-77097,1
147,-1234866,739214,1
148,-5409837,-859072,1
149,-9724024,-734559,1
150,-8222278,766407,1
151,-5484353,-791927,1
152,-9532103,872739,1
153,-3420111,353466,1
154,-7986791,956989,1
155,-720896,574019,1
156,-9109609,288364,1
157,-9778156,553177,1
158,-9110172,72620,1
159,-3561511,-412610,1
160,-4290166,779973,1
161,-721170,-547079,1
162,-373892,-703796,1
163,-3372122,474243,1
164,-5246113,-86748,1
165,-3756239,980049,1
166,-1074280,653476,1
167,-183512,-709612,1
168,-4540239,46801,1
169,-7616451,606837,1
170,-5489087,-585618,1
171,-4833843,138844,1
172,-6852003,-94290,1
173,-3201494,-898035,1
174,-8159155,-785637,1
175,-9718503,-543939,1
176,-5019141,238678,1
177,-7827927,474209,1
178,-34791,673057,1
179,-8405863,-102406,1
180,-5007671,283598,1
181,-6853227,114466,1
182,-3723382,-352228,1
183,-547293,-808048,1
184,-5110688,-328405,1
185,-1108309,-733799,1
186,-6987135,487290,1
187,-6454383,578079,1
188,-8493696,686178,1
189,-8461670,911224,1
190,-5318599,-904781,1
191,-6028369,-496443,1
192,-2544995,-495317,1
193,-6632783,639137,1
194,-9549407,-799824,1
195,-9819314,831445,1
196,-5023857,290285,1
197,-1220507,-297016,1
198,-4624090,989438,1
199,-4965781,967151,1
200,-5031166,-65233,1
201,-7022287,421004,1
202,-8161356,-991244,1
203,-4382962,273482,1
204,-1691386,-785158,1
205,-6145058,818179,1
206,-1941994,119478,1
207,-5408985,-207906,1
208,-1901918,-969383,1
209,-4517687,-870728,1
210,-6944046,161820,1
211,-597807,165351,1
212,-5960344,-488258,1
213,-436268,412726,1
214,-9851756,235864,1
215,-2444107,444621,1
216,-4573720,740463,1
217,-4268856,752171,1
218,-3902799,-989764,1
219,-2972434,-973975,1
220,-5497462,253022,1
221,-4652184,-555288,1
222,-5963092,729167,1
223,-595702,-576634,1
224,-3457243,-563783,1
225,-8229116,-366531,1
226,-6187331,-96059,1
227,-1439767,-976008,1
228,-3348331,-890772,1
229,-9762289,-958342,1
230,-6983292,716148,1
231,-2240104,-524386,1
232,-818834,105082,1
233,-8613672,54965,1
234,-9434851,104957,1
235,-7822313,-143719,1
236,-6053394,601276,1
237,-2185049,377031,1
238,-5092854,181169,1
239,-5613578,-515305,1
240,-7609070,-139450,1
241,-387564,-450470,1
242,-934470,-865626,1
243,-340524,-663236,1
244,-6838877,-661896,1
245,-5617594,-463158,1
246,-9871864,-975418,1
247,-2062890,998084,1
248,-5439621,-602265,1
249,-2765010,847555,1
250,-9983520,-636691,1
251,-1090268,-716703,1
252,-4609050,281024,1
253,-5471428,-295323,1
254,-9923485,-166120,1
255,-630470,-383802,1
256,-823948,-208959,1
257,-4086925,-11145,1
258,-453006,-579685,1
259,-8767739,-990334,1
260,-4609842,-445458,1
261,-1728193,-636470,1
262,-2603117,-815131,1
263,-317655,-212008,1
264,-4265057,-980543,1
265,-7392865,-277624,1
266,-1290178,-943471,1
267,-7802434,953532,1
268,-8723629,-729610,1
269,-2169667,383641,1
270,-6364905,138656,1
271,-4478069,281953,1
272,-3375546,-363475,1
273,-6870351,174123,1
274,-6439576,-194630,1
275,-2518361,735902,1
276,-4762037,454523,1
277,-5894878,985969,1
278,-6004855,-858571,1
279,-1420546,-466806,1
280,-6178455,47278,1
281,-5696374,360684,1
282,-5370827,899677,1
283,-678016,-373968,1
284,-420766,486061,1
285,-8455740,-526863,1
286,-4663980,732242,1
287,-1454984,-779847,1
288,-7169545,994124,1
289,-834593,931497,1
290,-5868337,-870162,1
291,-632510,-679742,1
292,-3613556,-833103,1
293,-6220779,957834,1
294,-3207491,-194836,1
295,-7031949,-108482,1
296,-2449687,16631,1
297,-5924798,-274773,1
298,-9568343,673841,1
299,-8616264,460109,1
300,-155180,212451,1
301,-6415323,597672,1
302,-741265,760102,1
303,-7068222,969485,1
304,-2091257,-21755,1
305,-7279335,544306,1
306,-7514027,-552694,1
