ID,i,k
1,-1262745,910070
2,-4576854,2219447
3,-8156987,-3964437
4,4231374,9877047
5,-4861251,-3374687
6,4661351,-8624924
7,-4344170,7141078
8,7738938,-4865211
9,-2656111,-6466798
10,-7123696,-6646360
11,-557310,6037390
12,5023420,8234364
13,4990450,9620491
14,2492723,7711920
15,2856950,-1656358
16,-7500663,2058663
17,-2190007,3405169
18,-1400883,-2870061
19,5514119,-7559666
20,8373908,4039716
21,-663037,-4506249
22,272488,-1701354
23,-5345836,4995749
24,6383888,6276484
25,820083,2821619
26,1688780,-4182312
27,5128355,-4054433
28,-8951872,-8486300
29,-278001,2746845
30,9886929,3314442
31,8295542,-26692
32,8495707,6634963
33,-2944758,-6412940
34,-2542557,5775739
35,-7979417,9480218
36,-755425,4301312
37,-7601492,-2223150
38,5368184,5108610
39,-3255528,1972919
40,3019373,5791840
41,-7332039,1974791
42,-2607022,584307
43,6437433,4296473
44,9579014,1201266
45,5710695,7145081
46,7212323,1973014
47,6445659,-649868
48,3167557,-2328402
49,4050032,9243878
50,-4475691,-3847374
51,-8390096,-7851073
52,-6775399,-5368660
53,8485565,-4681241
54,-3829311,3718835
55,9991870,-7668615
56,-77611,-1107288
57,9630773,-5435706
58,-6029080,-2958322
59,1430210,5023302
60,9572018,-3978030
61,-9025220,2932781
62,1376633,673530
63,8767018,2051103
64,-6422301,-2787108
65,5150672,6596763
66,3430301,9740391
67,-3878398,-8569457
68,-7784944,-1542880
69,7124375,-9829438
70,-7558329,5750729
71,-5010756,7544949
72,5865254,-9130125
73,-2261385,1681805
74,975830,-2607817
75,-2339713,-5260281
76,7947048,-2546800
77,-1825664,1577216
78,-6233096,2526399
79,7891581,3278285
80,-1869627,-7290381
81,-3355182,-3146440
82,-505037,5261293
83,3838713,-5022633
84,7969469,1933372
85,-6191660,-2854375
86,2405515,-7322594
87,8211184,1899951
88,-2891916,414755
89,-2887660,3018361
90,78567,-1632275
91,-2746410,-6581374
92,-1661330,1324273
93,-4529275,-197571
94,-3232361,1850783
95,7654864,-5170199
96,-6833142,-923404
97,7288135,660791
98,6373771,-4732275
99,-3780749,-6546302
100,-1406535,6314288
101,77983,-470330
102,713301,-381098
103,516573,-675886
104,-996748,373574
105,937977,75878
106,217037,-396211
107,670725,-289464
108,575734,-86560
109,822620,-410157
110,-589086,-696369
111,-690293,-901056
112,813178,-634074
113,-289634,288710
114,-693764,-584921
115,-778455,-136214
116,-67395,-612269
117,-354212,33963
118,537066,334770
119,656360,53805
120,-850776,18125
121,-524079,207744
122,278552,811568
123,-837054,596567
124,-732087,-856945
125,-856794,371291
126,712529,687564
127,-303298,-747853
128,75807,459382
129,70092,400596
130,-46942,-745266
131,186653,-11393
132,374811,-735378
133,-206946,-429593
134,58227,-615489
135,614519,-416524
136,-749844,21834
137,801639,301957
138,-601598,-247084
139,-724572,-880701
140,-818149,427954
141,388983,148929
142,9620,289221
143,759141,-387118
144,8579,-489548
145,-345422,-977320
146,758241,-765516
147,700457,-195437
148,475352,-191500
149,-390195,786124
150,197631,171352
151,-891838,-339852
152,-81547,215752
153,562160,229250
154,-37309,-242570
155,626194,496447
156,-316019,940094
157,-406482,503438
158,-387745,-261587
159,-174329,180260
160,-680765,582587
161,248784,-71632
162,-27726,-753148
163,499061,556125
164,-613521,717237
165,665610,580541
166,-332074,-43285
167,901642,98567
168,414993,-920112
169,81268,903253
170,224992,584666
171,524909,819212
172,59863,517438
173,-787670,-789646
174,-332608,993788
175,18335,614379
176,-764101,-864130
177,-598156,754478
178,526436,609667
179,-794368,38429
180,8264,949056
181,-984123,818869
182,962422,-136992
183,488884,742745
184,518903,523201
185,311831,269713
186,-86679,531032
187,987902,303220
188,-692932,-583005
189,219975,-301091
190,-863823,-628651
191,-132919,-691397
192,-874641,-781125
193,-2771,-762084
194,655403,843215
195,203975,-256019
196,-99280,509646
197,-149543,454215
198,-967328,-887089
199,539127,-445223
200,324318,-512706
201,-769633,-777301
202,596839,-563419
203,91780,-123642
204,235567,781906
205,943683,369588
206,532354,-357182
207,-391648,170078
208,341912,837994
209,322155,79800
210,985167,-462128
211,-710216,-746933
212,538015,-381895
213,-659666,898847
