ID,x,y
1,8034911,-2115461
2,-590904,-3785669
3,-7260342,3328147
4,3412672,2428087
5,-2415475,-6211944
6,-8100323,-6213284
7,2910629,-2963133
8,-5426185,9372763
9,-4019892,-85137
10,-646038,-8500835
11,7342193,2199279
12,-3034703,8675516
13,-7971011,-3619011
14,-9155485,8359793
15,3860330,3228797
16,4950547,5884331
17,-7141346,2538409
18,-1113095,-2014793
19,2918755,-8718130
20,2593064,-2251570
21,-3777536,4058245
22,-8190315,9402083
23,-9595404,5137615
24,1615662,-3177598
25,-8349771,1553808
26,-3149871,8281496
27,-2712581,-7817215
28,-1055928,-184387
29,-570420,-7144860
30,-2155541,-5310569
31,-34894,5346254
32,-8595985,1682601
33,1848156,-6553254
34,-3937237,3989312
35,243540,-928890
36,-649158,-6196727
37,2582392,4177536
38,-3993146,-4030543
39,-277152,-2049251
40,-871458,-7644114
41,-2839534,5947392
42,-73392,4327458
43,-2507479,8745186
44,931139,-4875042
45,9869992,177986
46,1700833,-6874404
47,-289944,6006610
48,-9750661,-8163964
49,7288789,-7910258
50,-37336,-8388749
51,6348102,6393631
52,7635969,7129095
53,7122171,-586052
54,9751285,827724
55,5074488,6057766
56,-4416889,-3899297
57,6552006,-1966356
58,-9534178,73693
59,-3959802,-5533071
60,-7707732,6070524
61,9606359,9711938
62,9689009,9943016
63,-5781384,2051678
64,-4659967,-4935164
65,4824145,773390
66,6852072,6025709
67,-1457350,-9450232
68,-9925432,6566777
69,-5457388,4424738
70,4091836,5298843
71,-9667063,744024
72,208107,-7247264
73,9860817,-4969256
74,8902585,9689040
75,9487802,-4743435
76,4851158,9024423
77,-6277542,3438736
78,1227828,-3250067
79,-5808678,9423467
80,-2468859,-8133558
81,-1342826,4435375
82,-7653477,-7621315
83,176801,383775
84,-6441457,7408087
85,8667383,-2635015
86,5741473,6274732
87,-4738268,2275105
88,9654241,-3340466
89,-5387101,7690406
90,4555269,-6992794
91,5191208,9022515
92,1970890,9856548
93,-6252238,2774241
94,9565251,740259
95,2044445,4787223
96,7456834,2196315
97,3909513,165191
98,-6123317,8701490
99,6562460,1135136
100,-1239987,-4960638
101,-171698,-767284
102,-139450,844009
103,401870,72396
104,444599,22321
105,-864722,243228
106,-143085,-380963
107,867377,287243
108,-731441,283161
109,-608578,-761188
110,79080,-456415
111,271287,-655005
112,-271120,916374
113,556312,-477774
114,341348,-733048
115,821850,284651
116,-353160,881634
117,516796,588115
118,199642,-788605
119,-738250,4787
