ID,n,y
1,-2788547,5231297
2,-1464042,-7502654
3,-9201992,-176264
4,-4673763,2295617
5,-5605401,-9766524
6,-3681678,-4963309
7,7037494,-5569200
8,9583435,-9878189
9,-2442542,2695695
10,1564863,2629976
11,2210403,-6593174
12,3263169,-358461
13,-3530073,-2453125
14,9897700,-412226
15,-7466081,-1569528
16,7319311,-6153611
17,-2942988,2295356
18,-1247089,-9057583
19,5117305,-8633232
20,1449348,9191755
21,-4385104,1969342
22,-4023957,4067155
23,3673634,-9806346
24,528742,174931
25,-3213488,-8429877
26,7161764,-3067561
27,9995267,6111692
28,-8544617,4789917
29,-4022430,-2847450
30,-6203315,3018641
31,557313,565991
32,8917191,-1752244
33,-7788294,7077547
34,8321512,4327359
35,8851290,-5040662
36,3506800,1826277
37,-9606007,-2808456
38,4450520,-7874155
39,-8886842,4611086
40,4067804,1733620
41,3604797,6573495
42,2708154,-9575304
43,8547310,-2660164
44,1460793,1369950
45,5903595,-9766741
46,-6346848,9430066
47,-1466672,7837876
48,6802299,-8867066
49,2519829,4475758
50,-9672067,-2616137
51,-2434711,-4648596
52,-7121313,8810646
53,7280040,8615391
54,3034983,8874545
55,3876838,1626227
56,-9101373,1337858
57,2115368,-9745559
58,5499405,3779291
59,-8003332,-3268458
60,-1817695,-1358478
61,8958390,5855106
62,-8426933,-846782
63,-2234471,-6029663
64,7231509,5784930
65,9887436,-7088879
66,2704440,6859657
67,-6221724,7798265
68,-4717806,7504249
69,-6644735,7813970
70,2874605,-2562187
71,3005640,2284284
72,5466966,3917746
73,4592854,-4780927
74,-2404607,-2975487
75,-4002069,-2523507
76,330542,-7081761
77,-7807311,9788846
78,5900803,2210389
79,-5940244,9529529
80,8551988,8782846
81,9710327,-8655768
82,7055513,-8557215
83,2340324,-1324156
84,4880562,-4791301
85,-1525213,3788203
86,-5472575,-2190760
87,9450959,261484
88,-1846193,5609464
89,6919249,1817794
90,-84758,-5594143
91,8098765,1717023
92,-2789439,5092512
93,-6536257,1969180
94,-2892323,135822
95,-4359181,3770726
96,-2128087,-6337472
97,543899,-722791
98,3563817,1129120
99,6009673,1625157
100,-394270,-9190939
101,680974,560369
102,423880,-687078
103,940534,346288
104,326873,-627015
105,422955,-997508
106,770967,-629605
107,297218,486017
108,-214690,-735467
109,45846,197799
110,352396,362578
111,980121,-375202
112,-331707,949114
113,278280,189206
114,-507920,-618215
115,-660779,-787662
116,-174953,333247
117,-808814,-658611
118,-397459,-966452
119,599496,706534
120,79334,820888
121,82384,978775
122,-58928,481556
123,29644,126591
124,-232788,618035
125,-306995,-638457
126,-189339,-817056
127,-539897,294591
128,343785,536929
129,496377,758333
130,358635,-356525
131,442880,365620
132,545195,-792888
133,403998,-216961
134,-867119,503228
135,846074,-103280
136,-284069,138712
137,425905,-149529
138,511861,277342
139,227053,-568394
140,-861274,903340
141,478715,-302771
142,323925,7144
143,-324624,625513
144,-91642,305522
145,-662461,199937
146,714608,-896522
147,-839471,325972
148,214780,-41954
149,-855273,505483
150,720678,-382030
151,-402440,83280
152,-590426,-406906
153,909555,-57379
154,502534,190811
155,461647,271105
156,485403,-10711
157,-400515,286305
158,-926260,-34156
159,871984,-234415
160,-665839,-968242
161,308361,-93437
162,-761984,-110324
163,354467,279880
164,-948214,199825
165,910948,370316
166,-815639,583601
167,-715591,248261
168,-89284,-717887
169,-816610,974543
170,639104,800637
