ID,n
1,-9941008
2,-3027071
3,-2997709
4,8680271
5,6457962
6,-4042717
7,5379250
8,876290
9,3521134
10,-5837777
11,9256858
12,-1592695
13,3551582
14,4647981
15,1469547
16,-2118659
17,-697109
18,-7866105
19,-8388269
20,7965295
21,-8602117
22,6546989
23,5392508
24,-3070296
25,-4553364
26,3959988
27,-249164
28,-1267460
29,-5061267
30,-4111717
31,-7444650
32,5478890
33,-2950866
34,-3114209
35,-4373389
36,-9330104
37,-1952077
38,-4190571
39,-9393234
40,-8065309
41,-7604606
42,-6687782
43,-6439127
44,-6610881
45,7150395
46,-4501556
47,3726442
48,-5233053
49,2769303
50,-6883923
51,-9083195
52,-3606361
53,5675583
54,-3707890
55,-7534660
56,4919413
57,-9689485
58,6259304
59,-6517305
60,-4494277
61,-6092666
62,4154878
63,-7997104
64,-6029961
65,-6671812
66,8571707
67,4202201
68,-2820551
69,-3520218
70,6101493
71,-3936057
72,-7635775
73,-9531798
74,8312792
75,1875168
76,4168572
77,-4677593
78,5750334
79,-2098572
80,14103
81,3077059
82,-1511326
83,-695223
84,1296076
85,-117576
86,-6471624
87,9647751
88,9188752
89,-7865267
90,6673288
91,3908262
92,8749604
93,1147755
94,2112092
95,-7895659
96,3896486
97,4218249
98,4560606
99,-8537143
100,-8232332
101,644176
102,842174
103,-124921
104,324214
105,971692
106,500137
107,145501
108,133802
109,-217771
110,368310
111,-370031
112,322365
113,-70029
114,-435566
115,835276
116,-467701
117,861421
118,-329509
119,-910515
120,113026
121,320240
122,-349204
123,425812
124,89919
125,545119
126,-952585
127,157871
128,841292
129,-962655
130,452841
131,373161
132,-423035
133,662433
134,224426
135,-794894
136,548246
137,-914262
138,-464049
139,-923824
140,420648
141,-783695
142,-828601
143,-993514
144,-235238
145,-234866
146,-705048
147,-86934
148,-246209
149,-522990
150,-368240
151,-987992
152,774682
153,757653
154,972794
155,389911
156,120714
157,972295
158,91095
159,971835
160,-587918
161,-112704
162,-745298
163,195656
164,-238339
165,625989
166,-565326
167,634592
168,881912
169,463774
170,-405034
171,-549970
172,631236
173,-598244
174,-445489
175,-454574
176,-303720
177,-414255
178,661327
179,-613266
180,715863
181,-654076
182,207996
183,-382983
184,721027
185,-890182
186,404551
187,-631986
188,641110
189,-265619
190,-529292
191,930023
192,-799724
193,-984182
194,-167569
195,-300707
196,161057
197,417393
198,-726097
199,693094
