testcase,CBMC,CPAChecker,VeriAbsL,Proteus,LoopSCC,EXPECTED
loop-acceleration/const_1-1,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/const_1-2,FAILED,FAILED,UNKOWN,UNKOWN,FAILED,FAILED
loop-acceleration/diamond_1-1,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/diamond_1-2,UNKOWN,FAILED,FAILED,FAILED,FAILED,FAILED
loop-acceleration/diamond_2-2,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/functions_1-1,UNKOWN,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/functions_1-2,UNKOWN,UNKOWN,FAILED,FAILED,FAILED,FAILED
loop-acceleration/multivar_1-1,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/multivar_1-2,UNKOWN,FAILED,FAILED,FAILED,FAILED,FAILED
loop-acceleration/nested_1-1,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/nested_1-2,UNKOWN,UNKOWN,FAILED,FAILED,FAILED,FAILED
loop-acceleration/overflow_1-1,UNKOWN,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/phases_1-1,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/phases_1-2,UNKOWN,UNKOWN,FAILED,FAILED,FAILED,FAILED
loop-acceleration/phases_2-1,UNKOWN,FAILED,FAILED,UNKNOWN,UNKOWN,FAILED
loop-acceleration/phases_2-2,UNKOWN,SUCCESS,SUCCESS,SUCCESS,UNKOWN,SUCCESS
loop-acceleration/simple_1-1,UNKOWN,UNKOWN,FAILED,FAILED,FAILED,FAILED
loop-acceleration/simple_1-2,UNKOWN,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/simple_2-1,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/simple_2-2,UNKOWN,FAILED,FAILED,FAILED,FAILED,FAILED
loop-acceleration/simple_3-1,UNKOWN,FAILED,FAILED,FAILED,FAILED,FAILED
loop-acceleration/simple_3-2,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/simple_4-1,UNKOWN,UNKOWN,FAILED,FAILED,FAILED,FAILED
loop-acceleration/simple_4-2,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-acceleration/underapprox_1-1,FAILED,FAILED,FAILED,FAILED,UNKOWN,FAILED
loop-acceleration/underapprox_1-2,SUCCESS,SUCCESS,SUCCESS,SUCCESS,UNKOWN,SUCCESS
loop-acceleration/underapprox_2-1,FAILED,FAILED,FAILED,FAILED,UNKOWN,FAILED
loop-acceleration/underapprox_2-2,SUCCESS,SUCCESS,SUCCESS,SUCCESS,UNKOWN,SUCCESS
loop-crafted/simple_vardep_1,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-crafted/simple_vardep_2,UNKOWN,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-new/count_by_1,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
loop-new/count_by_1_variant,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
